1000,971
3866,698
2121,2256
4346,874
3780,921
2368,2730
2136,2179
568,933
2454,2003
1989,2777
2691,2567
2523,2357
3681,869
3683,783
2301,2640
2614,2428
1070,757
4005,922
4353,688
2271,2091
4150,725
3752,705
2576,2068
2391,2805
3745,494
3995,1146
4298,1078
2113,2073
3965,545
911,1064
529,790
2797,2474
2741,2794
1042,560
960,700
2501,2441
1991,2503
3651,852
3962,893
2547,2419
4206,489
4177,892
2618,2151
2486,2720
4079,507
4002,499
767,532
2402,2448
4213,933
1012,698
906,644
3959,848
2169,2382
2381,2219
782,770
2605,2706
1993,2357
959,539
3842,1006
3828,970
2517,2013
4248,1144
3696,1024
2404,2128
4096,456
4094,448
4060,1003
2085,2027
1991,2801
4217,1112
2253,2236
2078,2519
618,611
2109,2579
910,780
4001,916
2611,2412
906,548
4289,588
662,918
1008,946
2154,2219
536,986
3851,1026
2113,2605
2574,2288
2459,2447
2584,2218
2823,2118
2673,2080
2401,2724
4172,773
3651,1123
2031,2792
4233,979
899,665
2649,2498
4348,789
3828,760
2519,2041
2100,1999
2380,1997
4287,473
2362,2791
3904,1002
555,1068
2450,2393
4254,730
4347,1104
2751,2624
4154,522
867,794
590,866
2315,2405
649,633
2173,2327
944,1070
712,531
2071,2501
723,935
2132,2333
610,640
2627,2598
2748,2446
685,821
692,666
2662,2180
3679,848
876,696
2170,2356
4312,591
2083,2283
949,661
2670,2221
816,564
672,1038
768,787
829,1063
2510,2447
2203,2608
2154,2497
518,919
1997,2130
4050,740
4023,558
880,667
4329,657
2138,2462
4193,448
3977,1025
2191,2177
4244,889
3846,686
582,728
4023,454
3702,1006
2281,2481
724,754
976,868
4197,692
4099,898
2173,2741
4197,915
939,835
3836,857
3734,684
710,539
2017,2241
2270,2697
3658,804
4252,1071
2807,1988
4233,1035
2698,2313
972,572
2428,2648
4326,665
3980,824
527,1078
2194,2007
2058,2715
758,701
669,1019
2164,2434
2700,2158
2425,2079
894,558
2781,2363
3682,674
3984,900
2042,2774
2385,2253
593,750
2766,2329
2075,2012
650,775
2576,2684
4023,1001
2391,2087
3865,553
3984,452
1033,777
2554,2576
4236,1100
4230,791
2414,2397
927,929
2724,2770
2070,1980
536,1003
2166,2508
2371,2418
2340,2470
2734,1987
4190,880
3673,505
2431,2129
3662,627
2355,2651
563,906
2617,2566
3826,798
2547,2767
896,934
3741,1043
2559,2305
2522,2151
906,655
4142,458
3820,673
783,749
796,1015
2764,2566
797,675
3957,1070
964,525
3667,747
4323,1093
3737,884
3790,1082
554,581
855,851
3892,815
2586,2472
1048,848
2116,2785
2220,2093
945,930
541,968
3797,631
2811,2146
2385,2564
4347,569
2356,2646
675,1012
4114,465
928,591
3876,990
2006,2413
3909,1136
864,717
590,859
2758,2782
3757,484
905,694
3758,480
2145,2132
3987,958
586,956
864,892
4259,509
3688,538
799,667
4234,599
2353,2814
4019,773
2033,2415
2396,2097
1044,603
2478,2153
2061,2485
2044,2345
3792,682
2562,2171
827,525
2543,2734
4329,713
2708,2007
2155,2531
2822,2423
2510,2247
803,820
3755,850
4302,952
4333,1034
2350,2135
735,571
559,680
2515,2524
672,771
611,715
665,854
1064,722
1992,2520
4097,890
546,598
543,746
2406,2514
2143,2321
3841,714
2261,2200
2233,2048
3861,562
2228,2647
4236,915
2317,2090
2662,2799
4330,693
2179,2565
3813,900
2164,2305
748,765
4004,786
4113,590
1040,763
3913,1035
3910,796
690,846
846,986
607,842
2078,2260
4244,963
832,786
